Loading training data...
Loaded 6920 training examples

Training: Unigram (decay=0.95)
  Epoch 1/30, Avg Loss: 1.2887, LR: 0.4750
  Epoch 2/30, Avg Loss: 0.6598, LR: 0.4512
  Epoch 3/30, Avg Loss: 0.3820, LR: 0.4287
  Epoch 4/30, Avg Loss: 0.2398, LR: 0.4073
  Epoch 5/30, Avg Loss: 0.1543, LR: 0.3869
  Epoch 6/30, Avg Loss: 0.1148, LR: 0.3675
  Epoch 7/30, Avg Loss: 0.0818, LR: 0.3492
  Epoch 8/30, Avg Loss: 0.0625, LR: 0.3317
  Epoch 9/30, Avg Loss: 0.0550, LR: 0.3151
  Epoch 10/30, Avg Loss: 0.0464, LR: 0.2994
  Epoch 11/30, Avg Loss: 0.0417, LR: 0.2844
  Epoch 12/30, Avg Loss: 0.0374, LR: 0.2702
  Epoch 13/30, Avg Loss: 0.0351, LR: 0.2567
  Epoch 14/30, Avg Loss: 0.0328, LR: 0.2438
  Epoch 15/30, Avg Loss: 0.0312, LR: 0.2316
  Epoch 16/30, Avg Loss: 0.0299, LR: 0.2201
  Epoch 17/30, Avg Loss: 0.0283, LR: 0.2091
  Epoch 18/30, Avg Loss: 0.0276, LR: 0.1986
  Epoch 19/30, Avg Loss: 0.0266, LR: 0.1887
  Epoch 20/30, Avg Loss: 0.0259, LR: 0.1792
  Epoch 21/30, Avg Loss: 0.0254, LR: 0.1703
  Epoch 22/30, Avg Loss: 0.0246, LR: 0.1618
  Epoch 23/30, Avg Loss: 0.0241, LR: 0.1537
  Epoch 24/30, Avg Loss: 0.0236, LR: 0.1460
  Epoch 25/30, Avg Loss: 0.0232, LR: 0.1387
  Epoch 26/30, Avg Loss: 0.0226, LR: 0.1318
  Epoch 27/30, Avg Loss: 0.0222, LR: 0.1252
  Epoch 28/30, Avg Loss: 0.0220, LR: 0.1189
  Epoch 29/30, Avg Loss: 0.0216, LR: 0.1130
  Epoch 30/30, Avg Loss: 0.0213, LR: 0.1073
  Final loss: 0.0213, Features: 14830

Training: Bigram (decay=0.95)
  Epoch 1/30, Avg Loss: 1.4560, LR: 0.4750
  Epoch 2/30, Avg Loss: 0.3474, LR: 0.4512
  Epoch 3/30, Avg Loss: 0.0847, LR: 0.4287
  Epoch 4/30, Avg Loss: 0.0213, LR: 0.4073
  Epoch 5/30, Avg Loss: 0.0094, LR: 0.3869
  Epoch 6/30, Avg Loss: 0.0067, LR: 0.3675
  Epoch 7/30, Avg Loss: 0.0057, LR: 0.3492
  Epoch 8/30, Avg Loss: 0.0051, LR: 0.3317
  Epoch 9/30, Avg Loss: 0.0047, LR: 0.3151
  Epoch 10/30, Avg Loss: 0.0044, LR: 0.2994
  Epoch 11/30, Avg Loss: 0.0041, LR: 0.2844
  Epoch 12/30, Avg Loss: 0.0039, LR: 0.2702
  Epoch 13/30, Avg Loss: 0.0037, LR: 0.2567
  Epoch 14/30, Avg Loss: 0.0036, LR: 0.2438
  Epoch 15/30, Avg Loss: 0.0035, LR: 0.2316
  Epoch 16/30, Avg Loss: 0.0033, LR: 0.2201
  Epoch 17/30, Avg Loss: 0.0032, LR: 0.2091
  Epoch 18/30, Avg Loss: 0.0031, LR: 0.1986
  Epoch 19/30, Avg Loss: 0.0031, LR: 0.1887
  Epoch 20/30, Avg Loss: 0.0030, LR: 0.1792
  Epoch 21/30, Avg Loss: 0.0029, LR: 0.1703
  Epoch 22/30, Avg Loss: 0.0029, LR: 0.1618
  Epoch 23/30, Avg Loss: 0.0028, LR: 0.1537
  Epoch 24/30, Avg Loss: 0.0028, LR: 0.1460
  Epoch 25/30, Avg Loss: 0.0027, LR: 0.1387
  Epoch 26/30, Avg Loss: 0.0027, LR: 0.1318
  Epoch 27/30, Avg Loss: 0.0026, LR: 0.1252
  Epoch 28/30, Avg Loss: 0.0026, LR: 0.1189
  Epoch 29/30, Avg Loss: 0.0026, LR: 0.1130
  Epoch 30/30, Avg Loss: 0.0025, LR: 0.1073
  Final loss: 0.0025, Features: 86353

Training: Better (decay=0.95)
  Epoch 1/30, Avg Loss: 1.1768, LR: 0.4750
  Epoch 2/30, Avg Loss: 0.1889, LR: 0.4512
  Epoch 3/30, Avg Loss: 0.0270, LR: 0.4287
  Epoch 4/30, Avg Loss: 0.0066, LR: 0.4073
  Epoch 5/30, Avg Loss: 0.0042, LR: 0.3869
  Epoch 6/30, Avg Loss: 0.0036, LR: 0.3675
  Epoch 7/30, Avg Loss: 0.0031, LR: 0.3492
  Epoch 8/30, Avg Loss: 0.0029, LR: 0.3317
  Epoch 9/30, Avg Loss: 0.0026, LR: 0.3151
  Epoch 10/30, Avg Loss: 0.0025, LR: 0.2994
